Borda count

Preference Schedule:
Voter 1: Sayan, Jayadev, Vishal, Vishesh, Hardeep, Aditya, Somy, Govind, Sachin, Amrish
Voter 2: Jayadev, Amrish, Govind, Hardeep, Sachin, Aditya, Vishal, Sayan, Vishesh, Somy
Voter 3: Amrish, Sayan, Vishal, Aditya, Sachin, Somy, Govind, Jayadev, Hardeep, Vishesh
Voter 4: Sachin, Hardeep, Aditya, Govind, Vishal, Jayadev, Sayan, Vishesh, Amrish, Somy
Voter 5: Govind, Sachin, Jayadev, Vishesh, Amrish, Somy, Hardeep, Aditya, Vishal, Sayan
Voter 6: Vishal, Somy, Jayadev, Govind, Vishesh, Sachin, Hardeep, Sayan, Amrish, Aditya
Voter 7: Jayadev, Sachin, Somy, Vishesh, Vishal, Aditya, Hardeep, Amrish, Sayan, Govind
Voter 8: Jayadev, Somy, Govind, Hardeep, Amrish, Aditya, Vishesh, Sayan, Sachin, Vishal
Voter 9: Sayan, Vishesh, Govind, Aditya, Amrish, Sachin, Vishal, Jayadev, Hardeep, Somy
Voter 10: Somy, Hardeep, Sayan, Vishal, Vishesh, Govind, Jayadev, Sachin, Aditya, Amrish
Voter 11: Sachin, Vishesh, Jayadev, Hardeep, Amrish, Aditya, Sayan, Govind, Vishal, Somy
Voter 12: Hardeep, Amrish, Sayan, Sachin, Aditya, Govind, Vishal, Somy, Vishesh, Jayadev
Voter 13: Sayan, Aditya, Sachin, Hardeep, Jayadev, Vishesh, Govind, Somy, Amrish, Vishal
Voter 14: Vishal, Aditya, Vishesh, Amrish, Sachin, Govind, Sayan, Somy, Jayadev, Hardeep
Voter 15: Somy, Vishesh, Aditya, Sayan, Sachin, Jayadev, Vishal, Hardeep, Govind, Amrish
Voter 16: Sachin, Jayadev, Sayan, Hardeep, Vishesh, Somy, Aditya, Vishal, Amrish, Govind
Voter 17: Jayadev, Vishal, Aditya, Hardeep, Sayan, Govind, Vishesh, Sachin, Amrish, Somy
Voter 18: Vishesh, Sachin, Hardeep, Jayadev, Govind, Sayan, Vishal, Somy, Aditya, Amrish
Voter 19: Sachin, Aditya, Govind, Hardeep, Jayadev, Somy, Sayan, Amrish, Vishesh, Vishal
Voter 20: Sachin, Govind, Vishesh, Sayan, Amrish, Vishal, Aditya, Somy, Jayadev, Hardeep
Voter 21: Jayadev, Amrish, Aditya, Govind, Vishesh, Somy, Sachin, Hardeep, Sayan, Vishal
Voter 22: Aditya, Sayan, Jayadev, Vishesh, Sachin, Vishal, Amrish, Hardeep, Somy, Govind
Voter 23: Somy, Sayan, Sachin, Vishal, Vishesh, Jayadev, Amrish, Hardeep, Govind, Aditya
Voter 24: Somy, Hardeep, Amrish, Govind, Vishesh, Jayadev, Sachin, Vishal, Sayan, Aditya
Voter 25: Govind, Somy, Aditya, Vishal, Sachin, Sayan, Vishesh, Hardeep, Amrish, Jayadev
Voter 26: Jayadev, Hardeep, Sachin, Vishesh, Aditya, Vishal, Somy, Sayan, Govind, Amrish
Voter 27: Somy, Vishal, Jayadev, Govind, Vishesh, Sachin, Amrish, Aditya, Sayan, Hardeep
Voter 28: Govind, Sayan, Somy, Vishal, Sachin, Amrish, Hardeep, Jayadev, Aditya, Vishesh
Voter 29: Vishal, Sachin, Sayan, Govind, Vishesh, Hardeep, Aditya, Jayadev, Amrish, Somy
Voter 30: Amrish, Vishal, Hardeep, Aditya, Govind, Sayan, Vishesh, Jayadev, Sachin, Somy
Voter 31: Govind, Jayadev, Sachin, Hardeep, Somy, Aditya, Vishal, Amrish, Sayan, Vishesh
Voter 32: Jayadev, Govind, Hardeep, Vishesh, Vishal, Aditya, Somy, Sayan, Sachin, Amrish
Voter 33: Vishal, Amrish, Sachin, Aditya, Govind, Jayadev, Sayan, Vishesh, Somy, Hardeep
Voter 34: Sachin, Aditya, Govind, Vishal, Vishesh, Somy, Jayadev, Amrish, Hardeep, Sayan
Voter 35: Govind, Amrish, Hardeep, Sayan, Sachin, Aditya, Vishesh, Jayadev, Vishal, Somy
Voter 36: Govind, Somy, Amrish, Vishesh, Hardeep, Aditya, Vishal, Sachin, Sayan, Jayadev
Voter 37: Sachin, Vishesh, Aditya, Vishal, Amrish, Jayadev, Sayan, Somy, Govind, Hardeep
Voter 38: Sachin, Amrish, Hardeep, Sayan, Vishal, Jayadev, Somy, Vishesh, Govind, Aditya
Voter 39: Aditya, Hardeep, Vishesh, Somy, Sachin, Amrish, Jayadev, Vishal, Govind, Sayan
Voter 40: Vishesh, Hardeep, Govind, Sayan, Amrish, Jayadev, Vishal, Somy, Aditya, Sachin
Voter 41: Govind, Jayadev, Sachin, Amrish, Vishesh, Sayan, Vishal, Aditya, Hardeep, Somy
Voter 42: Jayadev, Somy, Govind, Vishal, Amrish, Hardeep, Vishesh, Sayan, Sachin, Aditya
Voter 43: Sayan, Vishesh, Vishal, Govind, Jayadev, Sachin, Amrish, Hardeep, Somy, Aditya
Voter 44: Vishal, Amrish, Jayadev, Aditya, Sachin, Hardeep, Sayan, Somy, Vishesh, Govind
Voter 45: Govind, Somy, Jayadev, Amrish, Aditya, Vishesh, Vishal, Sayan, Sachin, Hardeep
Voter 46: Sayan, Sachin, Somy, Vishesh, Vishal, Hardeep, Aditya, Govind, Jayadev, Amrish
Voter 47: Amrish, Sayan, Vishesh, Jayadev, Somy, Sachin, Aditya, Hardeep, Vishal, Govind
Voter 48: Hardeep, Vishal, Amrish, Jayadev, Sayan, Somy, Vishesh, Govind, Sachin, Aditya
Voter 49: Vishal, Vishesh, Hardeep, Somy, Sayan, Jayadev, Sachin, Aditya, Govind, Amrish
Voter 50: Amrish, Vishesh, Hardeep, Govind, Aditya, Somy, Jayadev, Sayan, Vishal, Sachin
Voter 51: Somy, Vishesh, Amrish, Govind, Aditya, Sayan, Vishal, Jayadev, Hardeep, Sachin
Voter 52: Sachin, Jayadev, Vishesh, Somy, Amrish, Sayan, Hardeep, Govind, Aditya, Vishal
Voter 53: Vishal, Jayadev, Somy, Sachin, Aditya, Sayan, Hardeep, Vishesh, Amrish, Govind
Voter 54: Jayadev, Govind, Amrish, Vishesh, Sayan, Vishal, Somy, Hardeep, Sachin, Aditya
Voter 55: Sachin, Aditya, Somy, Vishesh, Vishal, Amrish, Govind, Sayan, Jayadev, Hardeep
Voter 56: Sayan, Vishal, Aditya, Hardeep, Govind, Jayadev, Amrish, Vishesh, Sachin, Somy
Voter 57: Amrish, Hardeep, Jayadev, Sachin, Sayan, Aditya, Govind, Vishal, Vishesh, Somy
Voter 58: Vishal, Vishesh, Hardeep, Sachin, Govind, Somy, Amrish, Sayan, Aditya, Jayadev
Voter 59: Aditya, Sachin, Sayan, Amrish, Vishesh, Govind, Somy, Hardeep, Vishal, Jayadev
Voter 60: Sayan, Aditya, Somy, Govind, Vishesh, Sachin, Vishal, Jayadev, Amrish, Hardeep
Voter 61: Vishesh, Amrish, Vishal, Hardeep, Somy, Govind, Sachin, Sayan, Aditya, Jayadev
Voter 62: Somy, Amrish, Sachin, Sayan, Jayadev, Vishesh, Hardeep, Aditya, Vishal, Govind
Voter 63: Sachin, Somy, Govind, Jayadev, Aditya, Sayan, Vishesh, Hardeep, Vishal, Amrish
Voter 64: Sachin, Somy, Hardeep, Sayan, Vishal, Aditya, Govind, Amrish, Jayadev, Vishesh
Voter 65: Amrish, Govind, Sayan, Jayadev, Sachin, Hardeep, Aditya, Vishesh, Vishal, Somy
Voter 66: Hardeep, Vishal, Sachin, Somy, Amrish, Govind, Vishesh, Aditya, Sayan, Jayadev
Voter 67: Sachin, Hardeep, Vishal, Sayan, Jayadev, Govind, Aditya, Amrish, Vishesh, Somy
Voter 68: Govind, Hardeep, Somy, Sayan, Aditya, Vishesh, Vishal, Jayadev, Sachin, Amrish
Voter 69: Vishesh, Sayan, Amrish, Jayadev, Somy, Aditya, Govind, Vishal, Hardeep, Sachin
Voter 70: Sachin, Somy, Sayan, Govind, Amrish, Jayadev, Hardeep, Aditya, Vishesh, Vishal
Voter 71: Sachin, Vishal, Somy, Vishesh, Hardeep, Aditya, Jayadev, Sayan, Govind, Amrish
Voter 72: Jayadev, Sachin, Hardeep, Sayan, Amrish, Somy, Vishesh, Govind, Vishal, Aditya
Voter 73: Hardeep, Govind, Sachin, Somy, Jayadev, Sayan, Amrish, Vishal, Vishesh, Aditya
Voter 74: Sayan, Aditya, Sachin, Vishal, Jayadev, Hardeep, Vishesh, Govind, Amrish, Somy
Voter 75: Vishesh, Hardeep, Vishal, Aditya, Jayadev, Sachin, Govind, Amrish, Sayan, Somy
Voter 76: Aditya, Vishesh, Sachin, Amrish, Somy, Vishal, Sayan, Govind, Hardeep, Jayadev
Voter 77: Jayadev, Vishal, Somy, Sayan, Sachin, Amrish, Vishesh, Aditya, Hardeep, Govind
Voter 78: Amrish, Sachin, Govind, Somy, Jayadev, Vishal, Sayan, Aditya, Vishesh, Hardeep
Voter 79: Sachin, Vishal, Amrish, Somy, Govind, Hardeep, Aditya, Jayadev, Sayan, Vishesh
Voter 80: Aditya, Vishal, Vishesh, Sayan, Govind, Jayadev, Hardeep, Sachin, Amrish, Somy
Voter 81: Sachin, Amrish, Sayan, Somy, Govind, Vishal, Vishesh, Aditya, Hardeep, Jayadev
